[2026-04-20 10:07:53,731] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\openpyxl\chart\updown_bars.py first seen with mtime 1773425791.153747
[2026-04-20 10:07:53,732] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\central_mess\admin.py first seen with mtime 1773425212.6845593
[2026-04-20 10:07:53,732] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\office_module\admin.py first seen with mtime 1773424603.5462234
[2026-04-20 10:07:53,732] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\fontTools\pens\transformPen.py first seen with mtime 1773151990.9509666
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\requests\exceptions.py first seen with mtime 1773425781.807164
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\lzma.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\hr2\forms.py first seen with mtime 1773424603.5119226
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1773425806.9257927
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\PyPDF2\filters.py first seen with mtime 1773425732.2615013
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\html5lib\_trie\_base.py first seen with mtime 1773425804.580226
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\library\views.py first seen with mtime 1773424603.5396934
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\asyncio\runners.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\reportlab\pdfgen\canvas.py first seen with mtime 1773425782.7406194
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\allauth\account\models.py first seen with mtime 1773425847.726371
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\email\mime\__init__.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1773425735.2655327
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\numpy\linalg\__init__.py first seen with mtime 1773425752.7300067
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\_config\config.py first seen with mtime 1773151946.744349
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\email\headerregistry.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\corsheaders\checks.py first seen with mtime 1773425840.3024113
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\reportlab\pdfgen\textobject.py first seen with mtime 1773425782.7528708
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\markdown\treeprocessors.py first seen with mtime 1773152268.5179796
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1773425808.5146136
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\io\excel\_xlsxwriter.py first seen with mtime 1773151947.003706
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\openpyxl\formatting\__init__.py first seen with mtime 1773425791.2203274
[2026-04-20 10:07:53,736] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\requests\auth.py first seen with mtime 1773425781.8027277
[2026-04-20 10:07:53,736] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\department\admin.py first seen with mtime 1773424602.3756597
[2026-04-20 10:07:53,737] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\openpyxl\styles\styleable.py first seen with mtime 1773425791.2800932
[2026-04-20 10:07:53,737] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\_libs\tslibs\__init__.py first seen with mtime 1773151946.838647
[2026-04-20 10:07:53,737] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\jsonschema\_legacy_validators.py first seen with mtime 1773425795.7106185
[2026-04-20 10:07:53,737] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pyrsistent\_pvector.py first seen with mtime 1773425741.0902674
[2026-04-20 10:07:53,737] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1773425808.8269968
[2026-04-20 10:07:53,737] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\numpy\core\overrides.py first seen with mtime 1773425752.4495056
[2026-04-20 10:07:53,737] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pkg_resources\_vendor\packaging\requirements.py first seen with mtime 1773150706.8780406
[2026-04-20 10:07:53,737] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\urllib3\util\ssl_.py first seen with mtime 1773425735.290554
[2026-04-20 10:07:53,738] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\reportlab\lib\PyFontify.py first seen with mtime 1773425782.6242864
[2026-04-20 10:07:53,738] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\allauth\account\apps.py first seen with mtime 1773425847.7232978
[2026-04-20 10:07:53,738] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\central_mess\models.py first seen with mtime 1773425212.6880822
[2026-04-20 10:07:53,738] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\office_module\models.py first seen with mtime 1773424603.5488162
[2026-04-20 10:07:53,738] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\asyncio\base_futures.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,738] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\openpyxl\chart\label.py first seen with mtime 1773425791.1207469
[2026-04-20 10:07:53,738] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\health_center\views.py first seen with mtime 1776659112.7547011
[2026-04-20 10:07:53,738] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1773425806.9278
[2026-04-20 10:07:53,738] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\xhtml2pdf\__init__.py first seen with mtime 1773425832.1706386
[2026-04-20 10:07:53,738] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\chardet\chardistribution.py first seen with mtime 1773425779.4138896
[2026-04-20 10:07:53,739] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\programme_curriculum\api\views.py first seen with mtime 1773425212.7689877
[2026-04-20 10:07:53,739] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\_libs\tslibs\dtypes.cp38-win_amd64.pyd first seen with mtime 1773151946.838647
[2026-04-20 10:07:53,739] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1773425836.0482357
[2026-04-20 10:07:53,739] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\numpy\lib\type_check.py first seen with mtime 1773425752.698942
[2026-04-20 10:07:53,739] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\allauth\socialaccount\urls.py first seen with mtime 1773425847.8001664
[2026-04-20 10:07:53,739] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\finance_accounts\views.py first seen with mtime 1773424602.7606514
[2026-04-20 10:07:53,739] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\leave\views.py first seen with mtime 1773424603.5372734
[2026-04-20 10:07:53,739] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pagedown\__init__.py first seen with mtime 1773425838.1868148
[2026-04-20 10:07:53,740] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\reportlab\pdfbase\_fontdata_widths_zapfdingbats.py first seen with mtime 1773425782.7195346
[2026-04-20 10:07:53,740] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\numpy\matrixlib\__init__.py first seen with mtime 1773425752.7501893
[2026-04-20 10:07:53,740] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\cffi\api.py first seen with mtime 1773425830.4016495
[2026-04-20 10:07:53,740] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\encodings\__init__.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,740] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\core\computation\parsing.py first seen with mtime 1773151946.9412835
[2026-04-20 10:07:53,740] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\reprlib.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\openpyxl\cell\cell.py first seen with mtime 1773425791.1035209
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\reportlab\graphics\renderPM.py first seen with mtime 1773425782.5242543
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\_libs\tslibs\timedeltas.cp38-win_amd64.pyd first seen with mtime 1773151946.8619857
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\debug_toolbar\panels\logging.py first seen with mtime 1773425839.1063612
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\office_module\urls.py first seen with mtime 1773424603.5498474
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1773425807.453771
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\fontTools\config\__init__.py first seen with mtime 1773151990.8934395
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\_libs\tslibs\timestamps.cp38-win_amd64.pyd first seen with mtime 1773151946.8700938
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\core\dtypes\astype.py first seen with mtime 1773151946.9432914
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\template\backends\base.py first seen with mtime 1773425808.988381
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\health_center\appointment_controllers.py first seen with mtime 1774412135.3545887
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\core\ops\docstrings.py first seen with mtime 1773151946.9642024
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\middleware\gzip.py first seen with mtime 1773425808.988381
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\rest_framework\schemas\openapi.py first seen with mtime 1773425835.9744277
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\openpyxl\comments\author.py first seen with mtime 1773425791.1703334
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\json\decoder.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\platform.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\xlwt\UnicodeUtils.py first seen with mtime 1773425729.0095623
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1773425809.0513506
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\cffi\lock.py first seen with mtime 1773425830.4106815
[2026-04-20 10:07:53,741] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\plistlib.py first seen with mtime 1620023042.0
